mag,mapped_reads,mag_length,total_decon_sample_reads,sample_id,rpkm
samp_2059,3962,3786874,47686530,samp_1000,2.1940064233539494e-5
samp_2073,306,4337595,47686530,samp_1000,1.4793696528652442e-6
samp_3937,540,4108029,47686530,samp_1000,2.756541515946406e-6
samp_4305,1249,3905470,47686530,samp_1000,6.706461116657717e-6
samp_4344,474,4351921,47686530,samp_1000,2.284029018423338e-6
samp_4380,980,4773271,47686530,samp_1000,4.3054074943683354e-6
samp_468,6834,4238051,47686530,samp_1000,3.3815286746285124e-5
samp_471,337,4577490,47686530,samp_1000,1.543855947979244e-6
samp_477,325,4344744,47686530,samp_1000,1.5686405861221751e-6
samp_481,506,3602070,47686530,samp_1000,2.945795857983085e-6
samp_507,781,3568765,47686530,samp_1000,4.589203980001388e-6
samp_2059,36860,3786874,47269976,samp_1001,2.0591552615767712e-4
samp_2073,4206,4337595,47269976,samp_1001,2.0513269555489747e-5
samp_3937,14313,4108029,47269976,samp_1001,7.3707518260127e-5
samp_4305,44179,3905470,47269976,samp_1001,2.3930798688564692e-4
samp_4344,11174,4351921,47269976,samp_1001,5.431781381988616e-5
samp_4380,14577,4773271,47269976,samp_1001,6.460508170576938e-5
samp_468,263699,4238051,47269976,samp_1001,0.00131630618646569
samp_471,5183,4577490,47269976,samp_1001,2.3953469271843117e-5
samp_477,8062,4344744,47269976,samp_1001,3.925484075294579e-5
samp_481,753,3602070,47269976,samp_1001,4.422394141882382e-6
samp_507,12419,3568765,47269976,samp_1001,7.36178778860875e-5
samp_2059,2308,3786874,41147508,samp_1002,1.4811921816115246e-5
samp_2073,193,4337595,41147508,samp_1002,1.0813462314578391e-6
samp_3937,268,4108029,41147508,samp_1002,1.5854690001604654e-6
samp_4305,539,3905470,41147508,samp_1002,3.3540684443862547e-6
samp_4344,241,4351921,41147508,samp_1002,1.3458371157171874e-6
samp_4380,893,4773271,41147508,samp_1002,4.546653193325665e-6
samp_468,3662,4238051,41147508,samp_1002,2.0999483981749856e-5
samp_471,385,4577490,41147508,samp_1002,2.0440418669085316e-6
samp_477,236,4344744,41147508,samp_1002,1.320092222888407e-6
samp_481,847,3602070,41147508,samp_1002,5.7146248273301995e-6
samp_507,333,3568765,41147508,samp_1002,2.267685087817228e-6
samp_2059,22383,3786874,45626308,samp_1003,1.295454344145158e-4
samp_2073,5703,4337595,45626308,samp_1003,2.8816354891040475e-5
samp_3937,13793,4108029,45626308,samp_1003,7.35884927240423e-5
samp_4305,20090,3905470,45626308,samp_1003,1.12743445455459e-4
samp_4344,14628,4351921,45626308,samp_1003,7.36696524091345e-5
samp_4380,19207,4773271,45626308,samp_1003,8.819178171174728e-5
samp_468,86157,4238051,45626308,samp_1003,4.455629409591046e-4
samp_471,13938,4577490,45626308,samp_1003,6.673562438371684e-5
samp_477,8243,4344744,45626308,samp_1003,4.158203885101413e-5
samp_481,910,3602070,45626308,samp_1003,5.536992256357462e-6
samp_507,20268,3568765,45626308,samp_1003,1.2447370503318553e-4
samp_2059,5518,3786874,44077284,samp_1004,3.305871855430261e-5
samp_2073,1012,4337595,44077284,samp_1004,5.293180294399916e-6
samp_3937,1959,4108029,44077284,samp_1004,1.081897480366086e-5
samp_4305,4344,3905470,44077284,samp_1004,2.523490561008036e-5
samp_4344,1973,4351921,44077284,samp_1004,1.0285638496172387e-5
samp_4380,4796,4773271,44077284,samp_1004,2.2795454551893593e-5
samp_468,3403,4238051,44077284,samp_1004,1.8217171404538785e-5
samp_471,1197,4577490,44077284,samp_1004,5.932693613638465e-6
samp_477,1262,4344744,44077284,samp_1004,6.5899229514928895e-6
samp_481,1504,3602070,44077284,samp_1004,9.472854398287234e-6
samp_507,2178,3568765,44077284,samp_1004,1.3846024590102525e-5
samp_2059,16406,3786874,46780028,samp_1286,9.2610744312448e-5
samp_2073,3624,4337595,46780028,samp_1286,1.7859887213774815e-5
samp_3937,16878,4108029,46780028,samp_1286,8.78267888752392e-5
samp_4305,16807,3905470,46780028,samp_1286,9.199334624507304e-5
samp_4344,20039,4351921,46780028,samp_1286,9.84316045791168e-5
samp_4380,23704,4773271,46780028,samp_1286,1.0615612792785564e-4
samp_468,9154,4238051,46780028,samp_1286,4.617259165210756e-5
samp_471,4339,4577490,46780028,samp_1286,2.0262907808571876e-5
samp_477,5574,4344744,46780028,samp_1286,2.7424725847183557e-5
samp_481,993,3602070,46780028,samp_1286,5.893002464890661e-6
samp_507,23942,3568765,46780028,samp_1286,1.4341084609313494e-4
samp_2059,3025,3786874,46095834,samp_1287,1.7329372889506476e-5
samp_2073,194,4337595,46095834,samp_1287,9.702665366845888e-7
samp_3937,282,4108029,46095834,samp_1287,1.48920309653915e-6
samp_4305,83,3905470,46095834,samp_1287,4.610447800556475e-7
samp_4344,412,4351921,46095834,samp_1287,2.053782911626535e-6
samp_4380,1167,4773271,46095834,samp_1287,5.30387264255755e-6
samp_468,182,4238051,46095834,samp_1287,9.316301444004444e-7
samp_471,352,4577490,46095834,samp_1287,1.6682209938479285e-6
samp_477,586,4344744,46095834,samp_1287,2.925982652203631e-6
samp_481,985,3602070,46095834,samp_1287,5.932290435029545e-6
samp_507,408,3568765,46095834,samp_1287,2.4801647754486537e-6
samp_2059,17066,3786874,48087882,samp_1288,9.371632220982755e-5
samp_2073,6904,4337595,48087882,samp_1288,3.309909609869537e-5
samp_3937,21707,4108029,48087882,samp_1288,1.0988303751984868e-4
samp_4305,13083,3905470,48087882,samp_1288,6.966239252144377e-5
samp_4344,27951,4351921,48087882,samp_1288,1.3356131855470505e-4
