Sample_ID,Date,Site,Volume_Filtered_mL,Replicates,Volume_Eluted_uL,Total_Cyano_Rep,Total_Cyano_Copies_Rxn,Total_Cyano_Y_intercept,Total_Cyano_Slope,Total_Cyano_Efficiency,Total_Cyano_R_squared,Total_Cyano_Quality_checks,Total_Cyano_Source_file,mcyE_Rep,mcyE_Copies_Rxn,mcyE_Y_intercept,mcyE_Slope,mcyE_Efficiency,mcyE_R_squared,mcyE_Quality_checks,mcyE_Source_file,sxtA_Rep,sxtA_Copies_Rxn,sxtA_Y_intercept,sxtA_Slope,sxtA_Efficiency,sxtA_R_squared,sxtA_Quality_checks,sxtA_Source_file,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Local_Time_Eastern_Time_Zone,Latitude_decimal_deg,Longitude_decimal_deg,Wind_speed_knots,Wave_Height_ft,Sky,Secchi_Depth_m,Sample_Temperature_C,CTD_Temperature_C,CTD_Specific_Conductivity_uS_cm,CTD_Beam_Attenuation_m1,CTD_Tramission_,CTD_Dissolved_Oxygen_mg_L,CTD_Photosynthetically_Active_Radiation_uE_m2_s,Turbidity_NTU,Particulate_Microcystin_ug_L,Dissolved_Microcystin_ug_L,Extracted_Phycocyanin_ug_L,Extracted_Chlorophyll_a_ug_L,Total_Phosphorus_ug_P_L,Total_Dissolved_Phosphorus_ug_P_L,Soluble_Reactive_Phosphorus_ug_P_L,Ammonia_ug_N_L,Nitrate_+_Nitrite_mg_N_L,Urea_ug_N_L,Particulate_Organic_Carbon_mg_L,Particulate_Organic_Nitrogen_mg_L,Dissolved_Organic_Carbon_mg_L,Colored_Dissolved_Organic_Material_absorbance_m1_at_400nm,Total_Suspended_Solids_mg_L,Volatile_Suspended_Solids_mg_L,Year,Month,Day,DOY,Total_Cyano_Copies_mL,mcyE_Copies_mL,mcyE_Copies_mL_BDL_Replaced,sxtA_Copies_mL,sxtA_Copies_mL_BDL_Replaced,Particulate_Microcystin_ug_L_BDL_Replaced,Particulate_Microcystin_ug_L_BDL_Replaced_plusoneweek,Particulate_Microcystin_ug_L_BDL_Replaced_plusoneweek_days,Particulate_Microcystin_ug_L_BDL_Replaced_plustwoweeks,Particulate_Microcystin_ug_L_BDL_Replaced_plustwoweeks_days
NA,2014-05-27T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.75,Surface,11:16,41.7089,-83.2498,NA,NA,partly sunny,3,NA,19.4,257.4,0.5,88.2,8.3,772.39,1.1,<0.1,NA,0.1,3.86,9.87,3.18,<0.25,2.34,0.305,NA,0.39,0.07,2.81,NA,1.56,1.09,2014,5,27,147,NA,NA,NA,NA,NA,0.1,,,,
NA,2014-06-16T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,0.75,Surface,12:12,41.7041,-83.2561,NA,NA,mostly cloudy,0.9,NA,23.3,300.4,7.9,13.8,7.6,284.82,11.9,<0.1,NA,1.06,34.37,56.77,10.54,1.11,2.14,0.545,NA,1.72,0.32,3.4,NA,16,3.48,2014,6,16,167,NA,NA,NA,NA,NA,0.1,,,,
NA,2014-06-30T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.75,Surface,11:38,41.7032,-83.2575,NA,NA,mostly cloudy,1.4,NA,24.5,290,1.5,68.9,7.1,680.5,4.01,<0.1,NA,0.63,7.88,19.4,4.57,<0.25,16.18,0.445,NA,0.59,0.12,3.02,NA,5,1.65,2014,6,30,181,NA,NA,NA,NA,NA,0.1,0.1,8,0.1,14
NA,2014-07-08T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,0.75,Surface,12:09,NA,NA,NA,NA,rainy,1,NA,23.5,279.6,4.5,32.5,8.4,66.67,9.47,<0.1,NA,0.12,6.98,34.03,5.05,<0.25,16.16,0.344,NA,0.66,0.1,3.05,NA,18.43,1.62,2014,7,8,189,NA,NA,NA,NA,NA,0.1,0.1,6,6.14,13
NA,2014-07-14T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,0.75,Surface,11:17,41.7037,-83.2607,NA,NA,partly sunny,1.5,NA,24.6,285.9,1.9,62.3,8.7,529.62,3.7,<0.1,NA,0.73,7.74,23.11,4.62,<0.25,3.04,0.449,NA,0.58,0.1,3.05,NA,4.42,1.05,2014,7,14,195,NA,NA,NA,NA,NA,0.1,6.14,7,6.93,15
NA,2014-07-21T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.75,Surface,11:03,41.7037,-83.2564,NA,NA,sunny,1.2,NA,23.9,312.2,1.8,63.2,7.2,945.2,5.58,6.14,NA,5.59,18.62,32.14,4.52,<0.25,1.82,1.021,NA,1.8,0.29,3.75,NA,6.74,3.48,2014,7,21,202,NA,NA,NA,NA,NA,6.14,6.93,8,9.28,14
NA,2014-07-29T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,0.75,Surface,10:53,41.7028,-83.2579,NA,NA,sunny,0.6,NA,22.2,314.6,7.7,14.7,8.8,467.01,15.5,6.93,NA,27.74,33.15,67.5,7.93,3.46,<0.04,1.026,NA,2.86,0.52,3.68,1.17,17.86,6.32,2014,7,29,210,NA,NA,NA,NA,NA,6.93,9.28,6,2.9,13
NA,2014-08-04T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.75,Surface,12:48,41.7026,-83.263,NA,NA,hazy,0.6,NA,24.6,291.8,4.4,33.1,9,530.37,17.7,9.28,NA,45.43,54.46,44.37,5.34,<0.25,3.25,0.618,NA,4.65,0.68,3.95,1.04,16.6,10.77,2014,8,4,216,NA,NA,NA,NA,NA,9.28,2.9,7,3.39,14
NA,2014-08-11T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,0.75,Surface,12:31,41.7033,-83.2587,NA,NA,cloudy,0.6,NA,23.8,269.6,4.9,29.6,8.2,26.03,11,2.9,NA,16.97,11.58,43.56,5.62,1.53,8.12,0.145,NA,1.34,0.25,3.95,0.56,11.57,3.13,2014,8,11,223,NA,NA,NA,NA,NA,2.9,3.39,7,3.1,14
NA,2014-08-18T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.75,Surface,11:02,41.7041,-83.2598,NA,NA,Partly Sunny,0.5,NA,22,265.1,12.2,4.7,8.2,147.74,31.6,3.39,NA,15.78,33.35,82.74,7.18,2.44,2.01,0.003,NA,3.76,0.58,2.92,0.2,27.6,7.65,2014,8,18,230,NA,NA,NA,NA,NA,3.39,3.1,7,0.3,15
